# Time-averaged data for fix avgcoord
# TimeStep c_ac1 c_ac2
407000 0.502 2.202
408000 0.492 2.196
409000 0.483 2.137
410000 0.487 2.177
411000 0.492 2.196
412000 0.475 2.173
413000 0.485 2.227
414000 0.474 2.118
415000 0.449 2.143
416000 0.456 2.06
417000 0.46 2.14
418000 0.478 2.182
419000 0.467 2.161
420000 0.465 2.211
421000 0.492 2.262
422000 0.467 2.149
423000 0.464 2.234
424000 0.467 2.113
425000 0.478 2.206
426000 0.491 2.141
427000 0.492 2.198
428000 0.495 2.189
429000 0.492 2.192
430000 0.486 2.25
431000 0.491 2.149
432000 0.471 2.197
433000 0.488 2.246
434000 0.48 2.24
435000 0.477 2.199
436000 0.502 2.16
437000 0.476 2.194
438000 0.5 2.214
439000 0.482 2.184
440000 0.51 2.248
441000 0.476 2.12
442000 0.476 2.16
443000 0.515 2.121
444000 0.499 2.195
445000 0.48 2.216
446000 0.512 2.282
447000 0.463 2.175
448000 0.451 2.211
449000 0.484 2.17
450000 0.479 2.185
451000 0.475 2.183
452000 0.484 2.222
453000 0.482 2.152
454000 0.499 2.161
455000 0.469 2.159
456000 0.488 2.224
457000 0.495 2.179
458000 0.527 2.209
459000 0.503 2.199
460000 0.493 2.237
461000 0.479 2.213
462000 0.484 2.186
463000 0.505 2.151
464000 0.494 2.196
465000 0.473 2.093
466000 0.47 2.098
467000 0.479 2.185
468000 0.49 2.216
469000 0.452 2.224
470000 0.487 2.159
471000 0.486 2.154
472000 0.503 2.115
473000 0.508 2.244
474000 0.48 2.236
475000 0.483 2.235
476000 0.483 2.143
477000 0.476 2.108
478000 0.494 2.256
479000 0.479 2.165
480000 0.474 2.128
481000 0.477 2.111
482000 0.499 2.281
483000 0.497 2.181
484000 0.464 2.192
485000 0.495 2.135
486000 0.49 2.276
487000 0.462 2.198
488000 0.468 2.122
489000 0.487 2.135
490000 0.477 2.209
491000 0.501 2.171
492000 0.478 2.148
493000 0.477 2.209
494000 0.5 2.166
495000 0.464 2.16
496000 0.489 2.143
497000 0.492 2.182
498000 0.494 2.102
499000 0.478 2.216
500000 0.49 2.148
501000 0.473 2.175
502000 0.49 2.236
503000 0.482 2.288
504000 0.488 2.202
505000 0.449 2.205
506000 0.488 2.174
507000 0.472 2.16
508000 0.486 2.16
509000 0.457 2.207
510000 0.461 2.147
511000 0.474 2.228
512000 0.479 2.133
513000 0.463 2.155
514000 0.463 2.127
515000 0.523 2.205
516000 0.476 2.228
517000 0.461 2.185
518000 0.469 2.221
519000 0.48 2.154
520000 0.466 2.252
521000 0.456 2.22
522000 0.473 2.197
523000 0.474 2.254
524000 0.479 2.157
525000 0.46 2.144
526000 0.501 2.257
527000 0.447 2.155
528000 0.462 2.2
529000 0.487 2.211
530000 0.488 2.206
531000 0.481 2.231
532000 0.5 2.246
533000 0.487 2.095
534000 0.499 2.255
535000 0.485 2.147
536000 0.503 2.245
537000 0.464 2.23
538000 0.467 2.203
539000 0.516 2.23
540000 0.464 2.182
541000 0.492 2.218
542000 0.483 2.127
543000 0.48 2.134
544000 0.496 2.126
545000 0.483 2.237
546000 0.462 2.182
547000 0.492 2.17
548000 0.491 2.187
549000 0.485 2.179
550000 0.469 2.107
551000 0.445 2.201
552000 0.515 2.195
553000 0.475 2.191
554000 0.509 2.259
555000 0.501 2.157
556000 0.475 2.153
557000 0.481 2.229
558000 0.467 2.175
559000 0.486 2.282
560000 0.495 2.169
561000 0.467 2.223
562000 0.468 2.224
563000 0.482 2.152
564000 0.472 2.212
565000 0.474 2.182
566000 0.506 2.18
567000 0.489 2.209
568000 0.469 2.153
569000 0.505 2.203
570000 0.476 2.18
571000 0.496 2.15
572000 0.491 2.247
573000 0.487 2.189
574000 0.474 2.144
575000 0.51 2.17
576000 0.493 2.177
577000 0.475 2.143
578000 0.483 2.187
579000 0.475 2.185
580000 0.485 2.085
581000 0.479 2.269
582000 0.49 2.14
583000 0.457 2.153
584000 0.506 2.196
585000 0.48 2.152
586000 0.451 2.257
587000 0.506 2.216
588000 0.46 2.158
589000 0.497 2.221
590000 0.479 2.145
591000 0.487 2.133
