# Time-averaged data for fix avgcoord
# TimeStep c_ac50 c_ac75 c_ac100 c_ac125
242000 0.208 0.724 1.674 3.304
243000 0.22 0.69 1.73 3.306
244000 0.21 0.724 1.646 3.304
245000 0.206 0.72 1.672 3.334
246000 0.234 0.71 1.646 3.184
247000 0.216 0.698 1.634 3.234
248000 0.226 0.742 1.702 3.182
249000 0.19 0.656 1.588 3.156
250000 0.206 0.686 1.616 3.188
251000 0.188 0.656 1.636 3.186
252000 0.196 0.734 1.656 3.208
253000 0.202 0.704 1.686 3.212
254000 0.2 0.636 1.626 3.17
255000 0.204 0.664 1.608 3.24
256000 0.2 0.67 1.62 3.18
257000 0.154 0.606 1.52 3.16
258000 0.2 0.642 1.558 3.206
259000 0.224 0.74 1.752 3.336
260000 0.202 0.686 1.624 3.286
261000 0.188 0.724 1.638 3.184
262000 0.194 0.716 1.644 3.128
263000 0.208 0.644 1.654 3.194
264000 0.208 0.702 1.74 3.318
265000 0.226 0.73 1.718 3.342
266000 0.222 0.662 1.614 3.218
267000 0.212 0.676 1.61 3.212
268000 0.206 0.68 1.634 3.23
269000 0.246 0.766 1.756 3.278
270000 0.244 0.712 1.692 3.274
271000 0.178 0.67 1.588 3.114
272000 0.222 0.684 1.678 3.188
273000 0.176 0.666 1.664 3.24
274000 0.166 0.712 1.626 3.298
275000 0.228 0.73 1.702 3.308
276000 0.192 0.652 1.646 3.246
277000 0.222 0.688 1.644 3.216
278000 0.22 0.734 1.712 3.314
279000 0.182 0.672 1.584 3.164
280000 0.194 0.696 1.616 3.172
281000 0.234 0.72 1.62 3.236
282000 0.258 0.762 1.75 3.354
283000 0.244 0.774 1.686 3.338
284000 0.208 0.758 1.732 3.32
285000 0.186 0.628 1.672 3.352
286000 0.186 0.72 1.64 3.28
287000 0.222 0.656 1.648 3.276
288000 0.208 0.704 1.61 3.266
289000 0.222 0.734 1.704 3.268
290000 0.2 0.752 1.728 3.35
291000 0.234 0.752 1.73 3.314
292000 0.2 0.708 1.662 3.282
293000 0.216 0.74 1.712 3.298
294000 0.188 0.682 1.588 3.168
295000 0.212 0.678 1.632 3.182
296000 0.2 0.694 1.652 3.218
297000 0.278 0.788 1.718 3.294
298000 0.208 0.704 1.686 3.252
299000 0.18 0.692 1.6 3.202
300000 0.194 0.624 1.596 3.186
301000 0.204 0.698 1.614 3.29
302000 0.204 0.664 1.574 3.09
303000 0.21 0.642 1.516 3.174
304000 0.178 0.654 1.636 3.226
305000 0.214 0.698 1.692 3.23
306000 0.222 0.74 1.704 3.386
307000 0.2 0.746 1.736 3.378
308000 0.206 0.686 1.664 3.32
309000 0.202 0.674 1.636 3.32
310000 0.228 0.792 1.778 3.368
311000 0.214 0.726 1.7 3.338
312000 0.228 0.714 1.736 3.392
313000 0.23 0.722 1.69 3.376
314000 0.248 0.776 1.702 3.304
315000 0.2 0.704 1.662 3.284
316000 0.234 0.728 1.66 3.232
317000 0.238 0.656 1.634 3.172
318000 0.212 0.722 1.678 3.294
319000 0.19 0.65 1.638 3.25
320000 0.2 0.672 1.688 3.346
321000 0.208 0.748 1.692 3.256
322000 0.196 0.694 1.72 3.376
323000 0.224 0.728 1.75 3.384
324000 0.2 0.69 1.682 3.38
325000 0.228 0.756 1.74 3.238
326000 0.21 0.718 1.718 3.354
327000 0.242 0.828 1.776 3.464
328000 0.234 0.7 1.644 3.296
329000 0.186 0.736 1.736 3.256
330000 0.18 0.654 1.592 3.182
331000 0.204 0.736 1.722 3.364
332000 0.204 0.704 1.654 3.304
333000 0.186 0.63 1.582 3.272
334000 0.214 0.704 1.68 3.366
335000 0.194 0.738 1.744 3.482
336000 0.212 0.702 1.698 3.342
337000 0.192 0.704 1.706 3.292
338000 0.222 0.746 1.834 3.47
339000 0.202 0.708 1.746 3.29
340000 0.194 0.712 1.628 3.268
341000 0.24 0.728 1.658 3.256
342000 0.25 0.702 1.734 3.308
343000 0.208 0.658 1.598 3.142
344000 0.218 0.732 1.622 3.174
345000 0.192 0.684 1.724 3.328
346000 0.192 0.654 1.644 3.286
