# Time-averaged data for fix avgcoord
# TimeStep c_ac1 c_ac2
496000 0.181 0.477
497000 0.184 0.486
498000 0.176 0.488
499000 0.148 0.5
500000 0.186 0.494
501000 0.164 0.486
502000 0.162 0.518
503000 0.19 0.49
504000 0.201 0.515
505000 0.192 0.494
506000 0.166 0.522
507000 0.159 0.473
508000 0.173 0.495
509000 0.175 0.525
510000 0.186 0.548
511000 0.17 0.554
512000 0.183 0.515
513000 0.151 0.467
514000 0.176 0.524
515000 0.155 0.537
516000 0.187 0.557
517000 0.199 0.519
518000 0.174 0.518
519000 0.162 0.454
520000 0.15 0.472
521000 0.155 0.495
522000 0.161 0.475
523000 0.189 0.525
524000 0.176 0.56
525000 0.152 0.474
526000 0.191 0.535
527000 0.158 0.456
528000 0.182 0.484
529000 0.194 0.548
530000 0.18 0.494
531000 0.177 0.475
532000 0.203 0.545
533000 0.165 0.445
534000 0.164 0.486
535000 0.199 0.507
536000 0.167 0.505
537000 0.15 0.472
538000 0.179 0.497
539000 0.149 0.499
540000 0.175 0.577
541000 0.179 0.509
542000 0.159 0.497
543000 0.173 0.469
544000 0.184 0.486
545000 0.186 0.556
546000 0.191 0.507
547000 0.194 0.544
548000 0.172 0.496
549000 0.188 0.516
550000 0.166 0.504
551000 0.153 0.511
552000 0.191 0.545
553000 0.156 0.412
554000 0.179 0.529
555000 0.171 0.505
556000 0.15 0.544
557000 0.15 0.508
558000 0.179 0.565
559000 0.191 0.485
560000 0.188 0.518
561000 0.183 0.549
562000 0.164 0.496
563000 0.177 0.481
564000 0.16 0.592
565000 0.164 0.446
566000 0.177 0.503
567000 0.176 0.518
568000 0.173 0.427
569000 0.176 0.532
570000 0.192 0.508
571000 0.199 0.521
572000 0.158 0.514
573000 0.191 0.539
574000 0.165 0.503
575000 0.179 0.535
576000 0.173 0.523
577000 0.192 0.53
578000 0.161 0.497
579000 0.15 0.5
580000 0.182 0.532
581000 0.174 0.548
582000 0.182 0.498
583000 0.181 0.535
584000 0.198 0.574
585000 0.184 0.514
586000 0.173 0.541
587000 0.182 0.524
588000 0.159 0.491
589000 0.167 0.493
590000 0.192 0.528
591000 0.174 0.516
592000 0.193 0.547
593000 0.183 0.525
594000 0.199 0.547
595000 0.196 0.542
596000 0.174 0.526
597000 0.185 0.519
598000 0.19 0.496
599000 0.174 0.542
600000 0.179 0.501
601000 0.174 0.506
602000 0.18 0.522
603000 0.177 0.483
604000 0.16 0.47
605000 0.202 0.518
606000 0.19 0.508
607000 0.164 0.524
608000 0.179 0.513
609000 0.2 0.516
610000 0.162 0.506
611000 0.173 0.509
612000 0.2 0.51
613000 0.158 0.552
614000 0.175 0.511
615000 0.172 0.546
616000 0.169 0.547
617000 0.188 0.488
618000 0.175 0.521
619000 0.182 0.55
620000 0.171 0.563
621000 0.203 0.529
622000 0.189 0.497
623000 0.199 0.505
624000 0.194 0.566
625000 0.184 0.506
626000 0.171 0.521
627000 0.201 0.541
628000 0.182 0.508
629000 0.19 0.506
630000 0.175 0.489
631000 0.193 0.527
632000 0.182 0.532
633000 0.191 0.539
634000 0.194 0.562
635000 0.173 0.469
636000 0.177 0.505
637000 0.197 0.499
638000 0.173 0.501
639000 0.181 0.517
640000 0.162 0.5
641000 0.166 0.494
642000 0.17 0.532
643000 0.204 0.562
644000 0.182 0.538
645000 0.187 0.535
646000 0.152 0.516
647000 0.174 0.528
648000 0.179 0.515
649000 0.179 0.507
650000 0.188 0.482
651000 0.204 0.552
652000 0.209 0.539
653000 0.188 0.518
654000 0.169 0.481
655000 0.188 0.524
656000 0.186 0.596
657000 0.182 0.502
658000 0.191 0.553
659000 0.173 0.501
660000 0.19 0.53
661000 0.15 0.458
662000 0.162 0.574
663000 0.17 0.576
664000 0.179 0.491
665000 0.175 0.517
666000 0.163 0.481
667000 0.174 0.546
668000 0.19 0.514
669000 0.173 0.555
670000 0.193 0.551
671000 0.171 0.559
672000 0.203 0.555
673000 0.187 0.513
674000 0.184 0.506
675000 0.198 0.458
676000 0.181 0.561
677000 0.173 0.521
678000 0.165 0.513
679000 0.168 0.484
680000 0.181 0.471
681000 0.167 0.513
682000 0.196 0.506
683000 0.183 0.507
684000 0.18 0.478
685000 0.166 0.448
686000 0.199 0.517
687000 0.177 0.531
688000 0.163 0.511
689000 0.187 0.567
690000 0.158 0.484
691000 0.193 0.503
692000 0.182 0.466
693000 0.21 0.572
694000 0.186 0.528
695000 0.189 0.479
696000 0.164 0.492
697000 0.185 0.509
698000 0.186 0.508
699000 0.198 0.544
700000 0.152 0.532
701000 0.158 0.486
702000 0.177 0.553
703000 0.189 0.519
704000 0.185 0.509
705000 0.159 0.513
706000 0.186 0.522
707000 0.178 0.51
708000 0.193 0.519
709000 0.182 0.55
710000 0.188 0.546
711000 0.196 0.536
712000 0.172 0.544
713000 0.185 0.531
714000 0.181 0.533
715000 0.18 0.532
716000 0.185 0.509
717000 0.161 0.515
718000 0.17 0.508
719000 0.203 0.551
720000 0.176 0.496
721000 0.186 0.494
722000 0.193 0.549
723000 0.197 0.491
724000 0.228 0.556
725000 0.188 0.536
726000 0.184 0.512
727000 0.181 0.481
728000 0.204 0.576
729000 0.183 0.527
730000 0.184 0.524
731000 0.167 0.525
732000 0.179 0.529
733000 0.175 0.571
734000 0.189 0.595
735000 0.181 0.513
736000 0.213 0.535
737000 0.182 0.514
738000 0.184 0.48
739000 0.193 0.543
740000 0.18 0.504
741000 0.183 0.477
742000 0.173 0.485
743000 0.187 0.539
744000 0.175 0.557
745000 0.18 0.516
746000 0.181 0.513
747000 0.168 0.492
748000 0.19 0.586
749000 0.198 0.608
750000 0.199 0.503
751000 0.182 0.506
752000 0.191 0.555
753000 0.197 0.531
754000 0.173 0.527
755000 0.174 0.6
756000 0.182 0.57
757000 0.201 0.573
758000 0.174 0.51
759000 0.188 0.538
760000 0.2 0.526
761000 0.197 0.523
762000 0.175 0.575
763000 0.149 0.447
764000 0.187 0.523
765000 0.167 0.473
766000 0.178 0.466
767000 0.212 0.544
768000 0.184 0.534
769000 0.2 0.548
770000 0.18 0.524
771000 0.173 0.505
772000 0.186 0.514
773000 0.181 0.505
774000 0.203 0.537
775000 0.173 0.523
776000 0.193 0.511
777000 0.214 0.536
778000 0.161 0.535
779000 0.221 0.521
780000 0.174 0.478
781000 0.172 0.494
782000 0.168 0.542
783000 0.199 0.481
784000 0.167 0.477
785000 0.177 0.495
786000 0.19 0.554
787000 0.207 0.531
788000 0.17 0.502
789000 0.173 0.517
790000 0.183 0.487
791000 0.196 0.552
792000 0.147 0.523
793000 0.179 0.471
794000 0.187 0.563
795000 0.189 0.555
796000 0.188 0.538
797000 0.201 0.533
798000 0.173 0.505
799000 0.184 0.498
800000 0.176 0.458
801000 0.172 0.48
802000 0.18 0.504
803000 0.178 0.586
804000 0.2 0.582
805000 0.178 0.548
806000 0.188 0.504
807000 0.205 0.555
808000 0.18 0.562
809000 0.207 0.539
810000 0.161 0.461
811000 0.208 0.528
812000 0.199 0.495
813000 0.182 0.522
814000 0.185 0.529
815000 0.175 0.527
816000 0.162 0.512
817000 0.177 0.527
818000 0.165 0.491
819000 0.179 0.517
820000 0.173 0.531
821000 0.193 0.557
822000 0.185 0.531
823000 0.169 0.483
824000 0.176 0.532
